ID_Venta;Fecha_Venta;Provincia;Tipo_Comprador;Tipo_Empresa;Vehiculo_Nuevo;Marca;Tipo_Vehiculo;Kilometraje;Precio_USD;Valor_Dolar;Modelo_Vehiculo;Consumo_Litros_100km;Costo_Mantenimiento_Anual;Color
52;25/10/2023;Buenos Aires;Particular;NA;No;Nissan;Moto;120547;29255,55598;136,2447154;2017;24,52346473;4377,742459;Gris 
53;2/4/2022;Santa Fe;Particular;NA;SI;Mercedes-Benz;Auto;0;45318,79441;145,8738807;2022;9,215975553;2024,395931;Gris 
54;22/10/2022;Buenos Aires;Particular;NA;No;Nissan;Auto;273551;49046,51006;109,337025;2006;18,17044829;644,6126659;Gris 
55;13/8/2023;Buenos Aires;Particular;NA;SI;Renault;Auto;0;9080,657611;150,4061677;2023;20,22224164;3901,20482;Gris 
56;11/12/2022;Buenos Aires;Particular;NA;No;Nissan;Camion;295095;37078,21916;162,4267183;2006;22,84524918;2181,625714;Gris 
57;20/2/2022;Cordoba;Empresa;Construccion;No;Toyota;Camion;21354;32257,32765;107,7752226;2006;24,28894808;2513,724913;Gris 
58;20/3/2023;Cordoba;Particular;NA;No;Chevrolet;Trafic;14926;99033,31578;173,5132764;2014;18,76940618;3756,401845;Gris 
59;9/10/2022;Santa Fe;Particular;NA;No;Chevrolet;Auto;7033;63690,90219;124,0001475;2006;8,401801176;2634,176411;Gris 
60;18/9/2022;Mendoza;Particular;NA;No;Renault;Camioneta;184194;36708,10023;156,5735679;2007;15,46977092;1941,734974;Gris 
61;16/11/2023;Buenos Aires;Empresa;Comercial;No;Renault;Auto;27280;36772,7374;175,1274592;2014;12,82526676;4646,838336;Gris 
62;24/6/2023;Buenos Aires;Particular;NA;No;Mercedes-Benz;Auto;108247;45472,15851;112,9781115;2014;11,18945191;1204,912372;Gris 
63;1/11/2023;Santa Fe;Particular;NA;No;Renault;Auto;12331;75063,28102;107,7279465;2014;8,044024751;1159,111278;Gris 
64;22/8/2023;Buenos Aires;Particular;NA;No;Fiat;Auto;93377;36825,55881;137,7058994;2014;21,31958141;3958,166777;Gris 
65;26/4/2023;Salta;Particular;NA;No;Ford;Camion;105922;106364,1744;190,7091049;2015;9,357385433;4259,586944;Gris 
66;18/5/2023;Buenos Aires;Empresa;Comercial;No;Nissan;Trafic;14090;68389,3561;133,2856344;2015;6,199648232;3357,981621;Gris 
67;5/12/2023;Cordoba;Empresa;Construccion;No;Fiat;Camioneta;271104;111954,6194;114,2801527;2015;5,12026266;902,3820171;Gris 
68;16/4/2022;Santa Fe;Particular;NA;No;Volkswagen;Auto;296292;32240,17003;123,7225123;2007;5,567470694;2846,037953;Gris 
69;19/9/2023;Santa Fe;Particular;NA;No;Nissan;Auto;84700;6743,041022;176,0562207;2015;15,57578863;2457,750188;Gris 
70;7/1/2022;Tucuman;Particular;NA;SI;Ford;Camioneta;0;55450,10091;106,4093716;2022;6,041041129;2869,964729;Gris 
71;3/7/2023;Mendoza;Particular;NA;No;Fiat;Camion;178141;26562,33779;148,649808;2015;10,32592859;2757,808203;Gris 
72;5/2/2022;Tucuman;Particular;NA;No;Toyota;Auto;220113;11780,78082;147,2197383;2007;10,0765457;3830,733332;Gris 
73;6/11/2022;Misiones;Particular;NA;No;Toyota;Camioneta;151195;20164,19065;196,5538862;2007;23,80622104;3936,154852;Gris 
74;21/4/2022;Buenos Aires;Particular;NA;SI;Nissan;Camion;0;44218,90116;192,4379427;2022;5,361113026;2743,840925;Gris 
75;8/5/2022;Mendoza;Particular;NA;No;Nissan;Auto;154162;12193,03432;158,8353264;2007;15,19877529;3289,9743;Gris 
76;8/12/2023;Buenos Aires;Particular;NA;No;Fiat;Auto;51081;57745,06526;129,4749818;2015;20,91885868;1520,120649;Gris 
77;20/2/2022;Santa Fe;Particular;NA;SI;Ford;SUV;0;11816,94095;102,5415569;2022;23,97575668;1066,40749;Gris 
78;16/12/2022;Santa Fe;Empresa;Construccion;No;Fiat;Camion;141378;113809,8399;158,9803918;2007;15,76553628;4465,631725;Gris 
79;23/5/2022;Cordoba;Particular;NA;No;Toyota;Camion;40634;81224,75573;108,1171775;2007;20,27861781;3936,986331;Gris 
80;2/11/2023;Santa Fe;Particular;NA;No;Volkswagen;Camioneta;51924;39039,93835;139,4758797;2015;11,86117556;4640,337117;Gris 
81;6/8/2022;Mendoza;Particular;NA;SI;Renault;Camioneta;0;66362,20454;104,2090806;2022;19,10674635;4823,976359;Gris 
82;7/7/2023;Buenos Aires;Empresa;Construccion;SI;Fiat;Auto;0;40401,89328;193,7086;2023;9,455166962;2795,741382;Gris 
83;12/12/2023;Buenos Aires;Empresa;Transporte;SI;Fiat;Camion;0;103252,2568;122,0725071;2023;10,2786846;2470,210563;Gris 
84;19/6/2022;Santa Fe;Particular;NA;SI;Fiat;Moto;0;22197,51576;164,8114618;2022;15,86283942;1669,671146;Gris 
85;10/8/2022;Santa Fe;Particular;NA;No;Fiat;Auto;19995;67217,44968;141,1285759;2007;23,15357629;2842,500563;Gris 
86;20/1/2022;Cordoba;Particular;NA;No;Chevrolet;Moto;195765;33351,99387;156,0229576;2007;20,07081346;1833,87643;Gris 
87;1/1/2022;Tucuman;Empresa;Construccion;No;Fiat;Auto;282515;52604,37586;117,5745783;2008;15,6863591;4035,820423;Gris 
88;19/4/2023;Santa Fe;Particular;NA;SI;Renault;Camion;0;105078,4096;166,685922;2023;5,120657896;2906,66639;Gris 
89;20/7/2023;Buenos Aires;Particular;NA;No;Mercedes-Benz;Camioneta;129016;20795,96894;153,6990731;2015;20,15157112;3725,698405;Gris 
90;7/11/2023;Cordoba;Empresa;;SI;Renault;Camion;0;45836,56928;166,0929429;2023;23,86703123;1910,292014;Gris 
91;21/1/2022;Santa Fe;Particular;NA;SI;Ford;Moto;0;22917,88112;180,5042501;2022;16,13942242;4362,075464;Gris 
92;5/3/2023;Tucuman;Empresa;Transporte;SI;Nissan;SUV;0;13245,15878;126,3332939;2023;19,81602249;1004,48921;Gris 
93;18/12/2023;Buenos Aires;Empresa;Construccion;No;Ford;Auto;267685;42076,49981;196,3560182;2015;8,230541019;2235,05024;Gris 
94;20/6/2022;Cordoba;Empresa;Construccion;No;Renault;Auto;50960;18392,67663;133,043702;2008;11,25821966;4723,924293;Gris 
95;26/12/2023;Santa Fe;Particular;NA;No;Ford;Auto;164192;58566,76718;190,0545248;2020;20,66395003;2328,217176;Gris 
96;8/9/2022;Santa Fe;Empresa;Transporte;SI;Fiat;Auto;0;16449,32159;194,4676292;2022;10,4320206;1461,131835;Gris 
97;29/6/2022;Santa Fe;Particular;NA;No;Fiat;Camion;104070;39533,89312;119,1794665;2008;9,018288636;795,4119061;Gris 
98;11/12/2022;Santa Fe;Particular;NA;No;Renault;Auto;158054;9919,005654;123,6387223;2008;12,41186629;3592,794895;Gris 
99;4/12/2022;Buenos Aires;Particular;NA;SI;Renault;Auto;0;24218,83901;188,9570651;2022;22,23884569;3680,125325;Gris 
100;1/4/2023;Tucuman;Particular;NA;No;Ford;Auto;171997;31212,42912;152,9252584;2020;15,71537005;3420,687776;Gris 
101;10/12/2023;Buenos Aires;Particular;NA;No;Nissan;Auto;221571;21616,70787;150,0105029;2020;14,33499886;3983,031758;Gris 
102;4/6/2023;Buenos Aires;Particular;NA;No;Fiat;SUV;246576;31794,65171;139,8668772;2020;5,780149469;3616,223961;Gris 
103;29/3/2022;Buenos Aires;Particular;NA;SI;Ford;Auto;0;40450,54655;129,3449411;2022;15,54205587;1996,045357;Gris 
104;22/6/2022;Misiones;Particular;NA;No;Toyota;Auto;165970;64370,59784;100,0284601;2008;8,017963259;2229,853406;Gris 
105;31/3/2022;Buenos Aires;Empresa;Comercial;No;Fiat;Camioneta;56925;74548,38084;176,2889892;2008;7,001796926;1865,536479;Gris 
106;18/2/2023;Santa Fe;Particular;NA;No;Chevrolet;Auto;204222;23395,58117;137,1950117;2020;11,7231468;2657,13822;Gris 
107;2/11/2022;Santa Fe;Empresa;Servicios;No;Ford;Camioneta;96025;35307,90983;132,7356652;2009;22,86319515;3943,857148;Gris 
108;27/3/2022;Santa Fe;Particular;NA;SI;Renault;Auto;0;10036,32662;175,0710648;2022;17,27229308;1813,685013;Gris 
109;21/11/2022;Santa Fe;Empresa;Servicios;No;Chevrolet;Auto;193974;7038,939997;137,7970122;2009;7,795292798;1304,84958;Gris 
110;28/4/2023;Buenos Aires;Particular;NA;SI;Toyota;Camioneta;0;104990,34;194,2447347;2023;18,95350647;4527,748168;Gris 
111;20/2/2022;Santa Fe;Particular;NA;SI;Fiat;Camioneta;0;103290,0753;129,4577289;2022;9,630073885;1261,130826;Gris 
112;23/4/2022;Buenos Aires;Particular;NA;SI;Volkswagen;Auto;0;38091,95041;157,8406385;2022;7,697752936;1590,88395;Gris 
113;3/7/2022;Buenos Aires;Empresa;Servicios;No;Nissan;Auto;131365;26988,40805;196,5048557;2009;14,73021816;2220,011748;Gris 
114;13/2/2023;Santa Fe;Empresa;Construccion;SI;Ford;Auto;0;77093,05739;196,1774858;2023;14,89828384;2968,445439;Gris 
115;3/2/2023;Santa Fe;Particular;NA;No;Nissan;Camioneta;102879;64137,27712;184,4345698;2020;11,85729224;618,541023;Gris 
116;27/1/2023;Buenos Aires;Particular;NA;No;Fiat;Auto;96025;9857,532398;152,006866;2020;9,197110248;3881,535805;Gris 
117;23/7/2023;Buenos Aires;Particular;NA;No;Ford;Trafic;9743;113915,2675;199,0577131;2020;12,07810529;1945,940445;Gris 
118;16/3/2023;Buenos Aires;Empresa;Servicios;SI;Nissan;Camioneta;0;73201,60246;171,7030805;2023;20,98848851;3917,031667;Gris 
119;16/4/2022;Santa Fe;Particular;NA;No;Mercedes-Benz;Moto;14257;64698,1179;135,1792309;2009;23,50001991;4050,7025;Negro
120;18/5/2022;Buenos Aires;Particular;NA;No;Nissan;Camioneta;260100;71560,93918;135,5075242;2009;14,25806501;3202,50044;Negro
121;22/2/2023;Buenos Aires;Particular;NA;No;Volkswagen;Auto;104537;73539,18805;186,6212123;2020;24,51517443;2259,87172;Negro
122;11/2/2022;Santa Fe;Particular;NA;No;Chevrolet;SUV;131298;33931,63956;148,1637132;2009;7,664951515;3670,444069;Negro
123;23/5/2023;Santa Fe;Particular;NA;No;Chevrolet;Auto;240185;6979,433416;147,4669371;2021;10,56361704;1504,316196;Negro
124;8/1/2022;Cordoba;Particular;NA;No;Toyota;Trafic;141314;109699,6259;167,5753736;2009;23,71692494;2140,440034;Negro
125;3/6/2023;Buenos Aires;Particular;NA;No;Nissan;SUV;273140;26981,04184;199,2550533;2021;7,372194193;2637,94508;Negro
126;23/7/2023;Buenos Aires;Particular;NA;No;Nissan;Auto;63069;14146,77743;199,956127;2021;10,71658183;2594,853898;Negro
127;18/5/2023;Santa Fe;Empresa;Produccion;SI;Fiat;Auto;0;72223,37798;134,5605351;2023;12,86328695;4540,051817;Negro
128;26/3/2023;Tucuman;Particular;NA;SI;Toyota;Auto;0;73647,33201;175,345078;2023;8,062502034;1487,120833;Negro
129;4/11/2023;Santa Fe;Particular;NA;No;Ford;Camion;56223;25139,70341;113,6953847;2021;11,28978418;2546,870218;Negro
130;19/8/2022;Buenos Aires;Empresa;Comercial;No;Volkswagen;Camion;255792;43006,33366;148,1508579;2009;9,732125647;2086,912874;Negro
131;26/5/2023;Cordoba;Empresa;Transporte;No;Volkswagen;Camioneta;42970;97101,05092;149,9947692;2021;12,06713927;1393,87935;Negro
132;29/10/2023;Buenos Aires;Particular;NA;SI;Nissan;Trafic;0;109327,8071;117,5704237;2023;21,56454571;3897,27581;Negro
133;21/8/2022;Mendoza;Particular;NA;No;Fiat;Auto;103178;23981,0624;123,0912546;2009;23,87739426;669,4926889;Negro
134;26/2/2022;Santa Fe;Particular;NA;No;Renault;Trafic;42189;51139,80108;185,0300818;2009;8,868109857;3691,584724;Negro
135;11/9/2023;Buenos Aires;Empresa;Produccion;No;Chevrolet;Auto;166379;15728,34034;199,8912847;2021;11,85170376;4129,453055;Negro
136;6/11/2022;Buenos Aires;Particular;NA;No;Toyota;Auto;239223;73615,41976;133,695558;2009;9,259373582;620,7104584;Negro
137;28/2/2023;Santa Fe;Particular;NA;No;Ford;Auto;72414;72949,22494;137,3610189;2021;9,453950524;707,2907039;Negro
138;23/3/2023;Buenos Aires;Empresa;Produccion;No;Ford;Auto;64056;6382,23127;123,7506443;2021;10,43303667;1540,057642;Negro
139;16/1/2022;Buenos Aires;Particular;NA;SI;Toyota;Auto;0;13967,97683;157,4396726;2022;24,32543035;707,2696324;Negro
140;5/3/2023;Santa Fe;Empresa;Produccion;No;Mercedes-Benz;Auto;247679;61148,66668;122,6254526;2006;22,57020287;3204,338503;Negro
141;10/8/2022;Tucuman;Particular;NA;SI;Ford;Auto;0;56929,03267;167,0606706;2022;6,864250732;2253,87702;Negro
142;5/1/2022;Cordoba;Particular;NA;No;Renault;Moto;172790;67089,27657;163,4178266;2009;18,78803313;4119,510795;Negro
143;20/12/2023;Buenos Aires;Particular;NA;No;Fiat;Camioneta;222342;95058,55596;110,012336;2006;12,08686388;4134,56123;Negro
144;28/10/2022;Tucuman;Particular;NA;No;Volkswagen;Auto;93662;9741,965881;145,244703;2009;7,295263737;4172,778726;Negro
145;7/5/2022;Santa Fe;Particular;NA;SI;Renault;Auto;0;27665,50042;151,0258655;2022;8,320267976;3619,40336;Negro
146;24/2/2022;Santa Fe;Particular;NA;No;Renault;Auto;284482;46899,29304;110,9975412;2009;19,31501553;4969,417588;Negro
147;20/6/2023;Cordoba;Particular;NA;SI;Mercedes-Benz;Auto;0;53199,34544;138,6502397;2023;20,67033119;2094,270966;Negro
148;28/11/2022;Santa Fe;Particular;NA;No;Mercedes-Benz;SUV;299832;40701,21596;112,6813384;2009;7,934915183;1140,721633;Negro
149;18/8/2023;Buenos Aires;Particular;NA;SI;Nissan;Trafic;0;71881,34546;142,8500895;2023;9,938965792;2370,970548;Negro
150;24/9/2023;Cordoba;Particular;NA;No;Toyota;Trafic;296337;53286,49299;173,0664101;2006;19,0058437;2315,33426;Negro
151;3/1/2023;Santa Fe;Empresa;Comercial;No;Mercedes-Benz;Auto;7427;61298,74584;178,4442667;2006;23,89928405;3428,798746;Negro
152;11/5/2023;Cordoba;Particular;NA;SI;Chevrolet;Auto;0;57262,69479;185,5033633;2023;21,82435229;3494,504647;Negro
153;13/9/2022;Buenos Aires;Empresa;Produccion;No;Nissan;Camioneta;279405;33756,11257;122,3747663;2010;9,995712896;4037,935188;Negro
154;12/3/2022;Buenos Aires;Particular;NA;No;Nissan;Auto;190470;36157,47231;139,5564052;2010;5,646359593;2352,075159;Negro
155;18/6/2022;Mendoza;Particular;NA;No;Renault;Camioneta;262787;35365,06036;152,8575584;2010;9,452906249;524,5838929;Negro
156;6/5/2023;Santa Fe;Particular;NA;SI;Nissan;Trafic;0;83507,31737;112,864809;2023;18,92063082;4198,980386;Negro
157;14/10/2022;Buenos Aires;Particular;NA;No;Nissan;Camioneta;49371;68383,62947;121,5438724;2010;18,1077861;1209,966865;Negro
158;7/2/2023;Cordoba;Particular;NA;No;Chevrolet;Auto;265953;21615,98179;171,7218765;2006;10,70999751;1856,629617;Negro
159;9/4/2022;Buenos Aires;Particular;NA;SI;Renault;Camioneta;0;87242,1071;174,2209971;2022;23,41881823;1800,124879;Negro
160;9/2/2022;Santa Fe;Empresa;Transporte;No;Fiat;Auto;226210;26961,18295;172,7928154;2010;8,032171423;1842,979299;Negro
161;19/3/2023;Cordoba;Particular;NA;No;Chevrolet;Moto;6109;60412,50143;115,922046;2006;13,66113347;4582,615081;Negro
162;8/10/2022;Cordoba;Particular;NA;SI;Volkswagen;Trafic;0;34606,43982;109,4734652;2022;10,13634551;1617,314769;Negro
163;30/6/2023;Santa Fe;Particular;NA;SI;Nissan;Camion;0;20191,29692;181,4498118;2023;10,13549669;4982,222924;Negro
164;18/8/2023;Buenos Aires;Empresa;Transporte;No;Toyota;Auto;71244;65310,34771;110,3632189;2006;10,73928994;3708,780894;Negro
165;15/7/2023;Santa Fe;Empresa;Produccion;No;Fiat;Camion;43782;61800,59131;109,631008;2006;22,8241213;678,1296248;Negro
166;30/12/2023;Buenos Aires;Particular;NA;SI;Mercedes-Benz;Auto;0;25398,2735;120,9130566;2023;20,41483728;1125,699076;Negro
167;10/9/2022;Buenos Aires;Empresa;Comercial;No;Mercedes-Benz;Camioneta;132450;64410,0998;176,2014289;2010;6,060043997;2086,687833;Negro
168;26/7/2023;Buenos Aires;Particular;NA;SI;Chevrolet;Auto;0;62622,55785;114,952829;2023;14,0257984;2097,797917;Negro
169;7/3/2022;Santa Fe;Particular;NA;No;Toyota;Camion;33362;89047,22352;182,5510956;2010;20,30682612;3074,396709;Negro
170;29/11/2022;Mendoza;Particular;NA;SI;Nissan;Camioneta;0;119931,9921;193,5622324;2022;11,15582252;1001,837946;Negro
171;18/6/2022;Santa Fe;Particular;NA;No;Volkswagen;Auto;239904;42333,80384;167,9909299;2010;23,12484235;4971,861877;Negro
172;11/12/2023;Santa Fe;Empresa;Comercial;SI;Ford;SUV;0;18529,45533;115,0514299;2023;24,79513272;4084,766232;Negro
173;13/11/2022;Buenos Aires;Particular;NA;No;Chevrolet;Auto;251554;40823,1039;117,1011552;2010;7,159204687;3633,868794;Negro
174;19/10/2023;Buenos Aires;Particular;NA;No;Ford;Auto;136485;39983,5114;176,1329485;2006;5,755104575;1288,455897;Negro
175;3/7/2022;Buenos Aires;Particular;NA;No;Volkswagen;Auto;245675;48483,00452;196,8976392;2010;12,40452901;922,4183396;Negro
176;25/7/2022;Buenos Aires;Particular;NA;SI;Toyota;Auto;0;63539,45102;155,8610806;2022;20,93702675;4782,870481;Negro
177;5/1/2023;Buenos Aires;Particular;NA;No;Toyota;Trafic;165426;74942,07063;197,1685759;2010;9,768473181;1881,271101;Negro
178;19/9/2022;Cordoba;Particular;NA;SI;Ford;Auto;0;12131,10661;126,1847207;2022;13,87815662;1802,976467;Negro
179;14/4/2022;Buenos Aires;Particular;NA;No;Renault;Auto;106777;72218,26263;133,2857816;2010;13,14952795;3102,166903;Negro
180;20/5/2023;Buenos Aires;Particular;NA;SI;Chevrolet;SUV;0;65503,66117;108,2548644;2023;9,818472906;3216,133245;Negro
181;18/4/2023;Buenos Aires;Particular;NA;No;Nissan;Trafic;55777;103216,1677;137,2927093;2010;10,50126033;4705,179535;Negro
182;10/10/2022;Santa Fe;Particular;NA;SI;Toyota;Trafic;0;76300,54542;177,559543;2022;15,93546001;1818,501182;Negro
183;25/1/2022;Entre Rios;Empresa;Construccion;No;Fiat;Camion;162248;81581,26258;129,8702318;2010;6,639379425;3690,824045;Negro
184;12/11/2023;Santa Fe;Particular;NA;SI;Volkswagen;Camioneta;0;82516,9385;197,5957337;2023;18,82384151;2862,144274;Negro
185;27/3/2023;Buenos Aires;Empresa;Produccion;No;Renault;Auto;58781;27159,05207;132,0926129;2010;11,93616538;683,4635159;Negro
186;23/7/2022;Buenos Aires;Particular;NA;SI;Volkswagen;Auto;0;54190,06542;189,835087;2022;13,05910868;1317,817822;Negro
187;11/5/2023;Buenos Aires;Empresa;Servicios;SI;Fiat;Auto;0;19294,45363;120,5545709;2023;15,14974115;3800,320965;Negro
188;12/9/2022;Cordoba;Empresa;Produccion;No;Nissan;Trafic;283589;110600,4041;147,0030044;2011;20,5794494;4897,878057;Negro
189;24/9/2023;Buenos Aires;Empresa;Servicios;SI;Chevrolet;Auto;0;62410,31259;118,3802069;2023;22,80950436;3182,541698;Negro
190;10/10/2023;Santa Fe;Empresa;Servicios;No;Toyota;Auto;132997;57487,1803;117,0622188;2010;17,6062047;810,5973702;Negro
191;27/8/2022;Santa Fe;Empresa;Transporte;No;Ford;Camioneta;228394;86888,80404;93,31851667;2011;21,68491519;4719,605555;Negro
192;9/1/2023;Buenos Aires;Empresa;Servicios;No;Mercedes-Benz;Camion;230143;78152,96927;155,9176698;2010;9,927655842;3697,992555;Negro
193;21/10/2022;Santa Fe;Particular;NA;No;Chevrolet;Trafic;70168;38311,09044;178,8758024;2011;19,73190452;1149,364885;Negro
194;20/12/2022;Buenos Aires;Particular;NA;No;Nissan;Auto;99457;62518,50263;164,1842097;2011;22,09408874;3008,479661;Negro
